id,task,clicks_bison,time_bison,clicks_proto,time_proto,expertise
1,1,2.102806068500538139e-01,9.766752152870268322e-01,2.606784382438683684e-02,3.475712509918244680e-02,novice
1,2,2.099405196006456087e-01,9.774937568667002585e-01,5.348803047150206547e-03,2.005801142681327282e-02,novice
1,3,1.893922197942493335e-01,9.706351264455277406e-01,7.102208242284349660e-02,1.302071511085464151e-01,novice
1,4,2.314128617175501834e-01,8.264745061341078891e-01,1.322359209814572556e-01,4.958847036804647224e-01,novice
2,1,3.052551703197378119e-01,9.247436042039115511e-01,3.591237297879268375e-02,2.244523311174542735e-01,Expert
2,2,7.822054241065534708e-02,2.815939526783592384e-01,2.503057357140970884e-01,9.230024004457330067e-01,Expert
2,3,2.169832068669297065e-01,9.073843196253423837e-01,5.917723823643537134e-02,3.550634294186122419e-01,Expert
2,4,2.326438994631883639e-01,9.508055021539002505e-01,3.034485645172022017e-02,2.022990430114681437e-01,Expert
3,1,2.884948816052769760e-01,8.799093888960948240e-01,4.327423224079154918e-02,3.750433460868600744e-01,novice
3,2,4.484026315930864648e-01,8.637650692793138463e-01,7.552044321567771834e-02,2.171212742450734368e-01,novice
3,3,3.957322344616818754e-01,9.177218961087574289e-01,5.653317635166884084e-03,3.391990581100130103e-02,novice
3,4,5.272705040082965589e-01,7.532435771547094649e-01,1.129865365732064114e-01,3.766217885773547325e-01,novice
4,1,2.822093233013442393e-01,9.532403809289849983e-01,3.135659147792713847e-02,1.034767518771595590e-01,Expert
4,2,3.366501646120692581e-01,7.921180343813394309e-01,1.188177051572009146e-01,4.950737714883371443e-01,Expert
4,3,1.550572238033636752e-01,9.762862239471046255e-01,2.297144056346128380e-02,1.493143636624983395e-01,Expert
4,4,2.745625891934576623e-01,8.236877675803728760e-01,1.568929081105472356e-01,4.706787243316416514e-01,Expert
5,1,2.499942934751587797e-01,8.918715334789447668e-01,9.459243536897898874e-02,3.648565364232047026e-01,Expert
5,2,1.770073238295382934e-01,6.490268540416403997e-01,2.950122063825638130e-01,6.785280746798968421e-01,Expert
5,3,3.399946033030956105e-01,8.580816178601937683e-01,9.714131522945589070e-02,3.723750417129142454e-01,Expert
5,4,4.276029043310219380e-01,8.076943748474858520e-01,1.425343014436739608e-01,3.800914705164639140e-01,Expert
6,1,2.330709166035419000e-01,9.544808965668858391e-01,3.329584522907741428e-02,1.831271487599257786e-01,Expert
6,2,2.133462293173958024e-01,8.960541631330624091e-01,6.400386879521874350e-02,3.840232127713124610e-01,Expert
6,3,2.377718475050195068e-01,9.510873900200780273e-01,3.242343375068447442e-02,1.945406025041068743e-01,Expert
6,4,3.395810879824071038e-01,8.065050839582168507e-01,1.273429079934026431e-01,4.669239959758097469e-01,Expert
7,1,4.993742476489268500e-01,7.490613714733902473e-01,1.664580825496422833e-01,4.022736994949688283e-01,Expert
7,2,3.533281255875481142e-01,5.552299116375756238e-01,1.766640627937740571e-01,7.318939744313496254e-01,Expert
7,3,4.235443666352730618e-01,7.395219099980958610e-01,2.285794994539568914e-01,4.706048518169700379e-01,Expert
7,4,4.620308277252730966e-01,8.624575450871764248e-01,9.240616554505462488e-02,1.848123310901092498e-01,Expert
8,1,2.898810819006571449e-01,9.491267681586031957e-01,1.870200528391336575e-02,1.215630343454368739e-01,Expert
8,2,1.455749050493677921e-01,7.642682515091809847e-01,1.091811787870258510e-01,6.186933464598131094e-01,Expert
8,3,2.080466076607588033e-01,9.202061492687408917e-01,4.801075561402125963e-02,3.280734966958119281e-01,Expert
8,4,1.056295466039692543e-01,7.394068262277847525e-01,7.922215995297694768e-02,6.601846662748078742e-01,Expert
9,1,4.030599051986258896e-01,9.056407746438260853e-01,2.488024106164357305e-02,1.293772535205465757e-01,Expert
9,2,1.916549873676877402e-01,4.106892586450451299e-01,1.642757034580180631e-01,8.761370851094296697e-01,Expert
9,3,4.222203716000600959e-01,8.769192333232017633e-01,3.247849012308154371e-02,2.273494308615708337e-01,Expert
9,4,3.961553233360908810e-01,9.003530075820246337e-01,1.080423609098429549e-01,1.440564812131239492e-01,Expert
10,1,2.911309932333672190e-01,9.316191783467752119e-01,5.822619864667345074e-02,2.096143151280244199e-01,Expert
10,2,4.345395986709405522e-01,8.690791973418811045e-01,9.311562828663012825e-02,2.172697993354702761e-01,Expert
10,3,2.805503974636930908e-01,9.270360959669858847e-01,4.879137347194662661e-02,2.439568673597331261e-01,Expert
10,4,3.674047167570345662e-01,8.922685978385125338e-01,1.574591643244434014e-01,2.099455524325911926e-01,Expert
11,1,2.416123159655818586e-01,9.106925755625777663e-01,1.115133765994993226e-01,3.159545670319147126e-01,Expert
11,2,3.001668056842815568e-01,7.003892132633235956e-01,1.334074691930140222e-01,6.336854786668165707e-01,Expert
11,3,3.798685881987931556e-01,8.357108940373449979e-01,1.139605764596379467e-01,3.798685881987931556e-01,Expert
11,4,3.356725433186756313e-01,7.552632224670201566e-01,2.517544074890067374e-01,5.035088149780134748e-01,Expert
12,1,4.218245406095977867e-01,8.942680260923473456e-01,4.218245406095978006e-02,1.434203438072632619e-01,Expert
12,2,4.958094499121157295e-01,7.988041137472976505e-01,8.263490831868595954e-02,3.305396332747438382e-01,Expert
12,3,5.356257305792540002e-01,7.935196008581540950e-01,7.935196008581540950e-02,2.777318603003539610e-01,Expert
12,4,5.240002587656238386e-01,7.568892626614566188e-01,1.746667529218746129e-01,3.493335058437492258e-01,Expert
13,1,3.042895648001080477e-01,9.499771779125324445e-01,1.236949450406943200e-02,6.926916922278882061e-02,novice
13,2,3.311277548199216825e-01,8.729731717979752892e-01,7.023922071937732658e-02,3.511961035968866329e-01,novice
13,3,2.450138258394287116e-01,8.841803280292427347e-01,5.326387518248450192e-02,3.941526763503853115e-01,novice
13,4,3.034330424545041427e-01,7.585826061362603845e-01,1.517165212272520713e-01,5.562939111665909930e-01,novice
14,1,3.770009149485517019e-01,9.218850498351303102e-01,2.650787683232003894e-02,8.541426979303123890e-02,novice
14,2,3.365162079690325880e-01,9.310281753809901417e-01,1.682581039845162940e-02,1.402150866537635876e-01,novice
14,3,3.692179028630079851e-01,9.275474145095078393e-01,9.005314703975805107e-03,5.703365979184676221e-02,novice
14,4,3.919247576690979562e-01,8.585018501323098405e-01,9.331541849264238242e-02,3.172724228749840836e-01,novice
15,1,2.060573815583720825e-01,8.559306618578532699e-01,7.925283906091233621e-02,4.675917504593828378e-01,novice
15,2,2.568386891295672547e-01,9.625216893593491196e-01,1.994863604889842920e-02,8.478170320781831804e-02,novice
15,3,2.907173287693534669e-01,9.302954520619310941e-01,3.488607945232241603e-02,2.209451698647086348e-01,novice
15,4,2.626128657194450877e-01,9.191450300180578070e-01,1.313064328597225439e-01,2.626128657194450877e-01,novice
16,1,5.360989131045192924e-01,8.325300768211357783e-01,4.414932225566629148e-02,1.324479667669988814e-01,novice
16,2,5.051971087399601545e-01,8.588350848579323626e-01,3.788978315549701437e-02,7.577956631099402873e-02,novice
16,3,5.454795216231309585e-01,8.325740066879367962e-01,4.306417275972086733e-02,8.612834551944173467e-02,novice
16,4,6.386955544948194063e-01,7.451448135772892334e-01,1.596738886237048516e-01,1.064492590824698964e-01,novice
